Data(x=[13752, 767], edge_index=[2, 491722], y=[13752], train_mask=[13752], val_mask=[13752], test_mask=[13752])
Epoch 1, Loss: 2.512063980102539
Epoch 2, Loss: 2.632697105407715
Epoch 3, Loss: 2.7278530597686768
Epoch 4, Loss: 2.3006441593170166
Epoch 5, Loss: 2.1248786449432373
Epoch 6, Loss: 2.206883192062378
Epoch 7, Loss: 2.1526939868927
Epoch 8, Loss: 2.0775232315063477
Epoch 9, Loss: 2.0753226280212402
Epoch 10, Loss: 1.9871066808700562
Epoch 11, Loss: 1.9439826011657715
Epoch 12, Loss: 1.9372528791427612
Epoch 13, Loss: 1.938346266746521
Epoch 14, Loss: 1.89545738697052
Epoch 15, Loss: 1.8906478881835938
Epoch 16, Loss: 1.8787356615066528
Epoch 17, Loss: 1.859745740890503
Epoch 18, Loss: 1.8155416250228882
Epoch 19, Loss: 1.8252406120300293
Epoch 20, Loss: 1.7963787317276
Epoch 21, Loss: 1.7840731143951416
Epoch 22, Loss: 1.7540539503097534
Epoch 23, Loss: 1.7290687561035156
Epoch 24, Loss: 1.712512493133545
Epoch 25, Loss: 1.6894944906234741
Epoch 26, Loss: 1.6622049808502197
Epoch 27, Loss: 1.6526126861572266
Epoch 28, Loss: 1.6375478506088257
Epoch 29, Loss: 1.6098970174789429
Epoch 30, Loss: 1.5842535495758057
Epoch 31, Loss: 1.5635638236999512
Epoch 32, Loss: 1.555450201034546
Epoch 33, Loss: 1.5446445941925049
Epoch 34, Loss: 1.5243325233459473
Epoch 35, Loss: 1.5254669189453125
Epoch 36, Loss: 1.4930027723312378
Epoch 37, Loss: 1.4813499450683594
Epoch 38, Loss: 1.4651817083358765
Epoch 39, Loss: 1.4480730295181274
Epoch 40, Loss: 1.4360988140106201
Epoch 41, Loss: 1.4124237298965454
Epoch 42, Loss: 1.4083317518234253
Epoch 43, Loss: 1.3784793615341187
Epoch 44, Loss: 1.3654627799987793
Epoch 45, Loss: 1.3557289838790894
Epoch 46, Loss: 1.3335678577423096
Epoch 47, Loss: 1.3081244230270386
Epoch 48, Loss: 1.300540566444397
Epoch 49, Loss: 1.273988962173462
Epoch 50, Loss: 1.253020167350769
Epoch 51, Loss: 1.235131859779358
Epoch 52, Loss: 1.2189451456069946
Epoch 53, Loss: 1.194475769996643
Epoch 54, Loss: 1.1906070709228516
Epoch 55, Loss: 1.153002142906189
Epoch 56, Loss: 1.1477019786834717
Epoch 57, Loss: 1.1338250637054443
Epoch 58, Loss: 1.1162363290786743
Epoch 59, Loss: 1.0900688171386719
Epoch 60, Loss: 1.097053050994873
Epoch 61, Loss: 1.070847749710083
Epoch 62, Loss: 1.0493037700653076
Epoch 63, Loss: 1.036350131034851
Epoch 64, Loss: 1.0127559900283813
Epoch 65, Loss: 1.0055989027023315
Epoch 66, Loss: 0.979900598526001
Epoch 67, Loss: 0.9753296375274658
Epoch 68, Loss: 0.9608898758888245
Epoch 69, Loss: 0.9303988814353943
Epoch 70, Loss: 0.9366133213043213
Epoch 71, Loss: 0.9205987453460693
Epoch 72, Loss: 0.8877922892570496
Epoch 73, Loss: 0.8892698884010315
Epoch 74, Loss: 0.8514748811721802
Epoch 75, Loss: 0.870137631893158
Epoch 76, Loss: 0.847849428653717
Epoch 77, Loss: 0.8359286785125732
Epoch 78, Loss: 0.827621340751648
Epoch 79, Loss: 0.8285865783691406
Epoch 80, Loss: 0.8014894723892212
Epoch 81, Loss: 0.8138667941093445
Epoch 82, Loss: 0.7847428321838379
Epoch 83, Loss: 0.773737907409668
Epoch 84, Loss: 0.7654467821121216
Epoch 85, Loss: 0.7584677934646606
Epoch 86, Loss: 0.7611537575721741
Epoch 87, Loss: 0.7695679068565369
Epoch 88, Loss: 0.7557033896446228
Epoch 89, Loss: 0.754515528678894
Epoch 90, Loss: 0.7404194474220276
Epoch 91, Loss: 0.7197552919387817
Epoch 92, Loss: 0.7341524362564087
Epoch 93, Loss: 0.717878520488739
Epoch 94, Loss: 0.7132691144943237
Epoch 95, Loss: 0.6973860263824463
Epoch 96, Loss: 0.6868212223052979
Epoch 97, Loss: 0.7002824544906616
Epoch 98, Loss: 0.6773679852485657
Epoch 99, Loss: 0.6646074652671814
Epoch 100, Loss: 0.6566140651702881
Epoch 101, Loss: 0.6591708660125732
Epoch 102, Loss: 0.6723368763923645
Epoch 103, Loss: 0.6729257106781006
Epoch 104, Loss: 0.668316125869751
Epoch 105, Loss: 0.6435596346855164
Epoch 106, Loss: 0.665040910243988
